# index;voltage_out
0;0
1;0
2;0
3;0
4;2.00664e-07
5;3.97013e-07
6;5.87876e-07
7;7.72233e-07
8;9.49091e-07
9;1.11749e-06
10;1.27649e-06
11;1.4252e-06
12;1.56277e-06
13;1.6884e-06
14;1.80131e-06
15;1.90151e-06
16;1.98683e-06
17;2.05746e-06
18;2.11285e-06
19;2.15252e-06
20;2.17605e-06
21;2.18307e-06
22;2.1733e-06
23;2.1465e-06
24;2.10252e-06
25;2.04125e-06
26;1.96267e-06
27;1.86682e-06
28;1.7538e-06
29;1.62472e-06
30;1.4781e-06
31;1.31504e-06
32;1.13593e-06
33;9.41186e-07
34;7.31318e-07
35;5.06879e-07
36;2.68483e-07
37;1.6801e-08
38;-2.47446e-07
39;-5.23487e-07
40;-8.10503e-07
41;-1.10763e-06
42;-1.41398e-06
43;-1.7286e-06
44;-2.05053e-06
45;-2.37876e-06
46;-2.71227e-06
47;-3.05002e-06
48;-3.39094e-06
49;-3.73396e-06
50;-4.078e-06
51;-4.42196e-06
52;-4.76476e-06
53;-5.10531e-06
54;-5.44253e-06
55;-5.77537e-06
56;-6.10278e-06
57;-6.42372e-06
58;-6.73721e-06
59;-7.04227e-06
60;-7.33796e-06
61;-7.62338e-06
62;-7.89767e-06
63;-8.16001e-06
64;-8.40962e-06
65;-8.64579e-06
66;-8.86784e-06
67;-9.07516e-06
68;-9.26721e-06
69;-9.44347e-06
70;-9.60351e-06
71;-9.74697e-06
72;-9.87354e-06
73;-9.98298e-06
74;-1.00758e-05
75;-1.01504e-05
76;-1.02076e-05
77;-1.02473e-05
78;-1.02698e-05
79;-1.02751e-05
80;-1.02635e-05
81;-1.02353e-05
82;-1.01909e-05
83;-1.01307e-05
84;-1.00552e-05
85;-9.96497e-06
86;-9.8606e-06
87;-9.74359e-06
88;-9.61311e-06
89;-9.47064e-06
90;-9.31702e-06
91;-9.15311e-06
92;-8.97979e-06
93;-8.79802e-06
94;-8.60875e-06
95;-8.413e-06
96;-8.21179e-06
97;-8.00617e-06
98;-7.79719e-06
99;-7.58593e-06
100;-7.37348e-06
101;-7.16094e-06
102;-6.94938e-06
103;-6.73989e-06
104;-6.53356e-06
105;-6.33143e-06
106;-6.13457e-06
107;-5.944e-06
108;-5.76072e-06
109;-5.5857e-06
110;-5.41988e-06
111;-5.26416e-06
112;-5.11942e-06
113;-4.98646e-06
114;-4.86606e-06
115;-4.7582e-06
116;-4.66514e-06
117;-4.58667e-06
118;-4.52333e-06
119;-4.47564e-06
120;-4.44402e-06
121;-4.42885e-06
122;-4.43045e-06
123;-4.44905e-06
124;-4.48484e-06
125;-4.53792e-06
126;-4.60834e-06
127;-4.69607e-06
128;-4.80102e-06
129;-4.92213e-06
130;-5.06085e-06
131;-5.2161e-06
132;-5.38753e-06
133;-5.57471e-06
134;-5.77716e-06
135;-5.99434e-06
136;-6.22564e-06
137;-6.47041e-06
138;-6.72794e-06
139;-6.99745e-06
140;-7.27815e-06
141;-7.56919e-06
142;-7.86966e-06
143;-8.17864e-06
144;-8.49516e-06
145;-8.81823e-06
146;-9.14683e-06
147;-9.47992e-06
148;-9.81643e-06
149;-1.01553e-05
150;-1.04954e-05
151;-1.08357e-05
152;-1.11751e-05
153;-1.15125e-05
154;-1.18468e-05
155;-1.2177e-05
156;-1.25019e-05
157;-1.28206e-05
158;-1.31321e-05
159;-1.34354e-05
160;-1.37295e-05
161;-1.40135e-05
162;-1.42866e-05
163;-1.45478e-05
164;-1.47965e-05
165;-1.50319e-05
166;-1.52534e-05
167;-1.54602e-05
168;-1.56518e-05
169;-1.58277e-05
170;-1.59875e-05
171;-1.61307e-05
172;-1.62571e-05
173;-1.63664e-05
174;-1.64592e-05
175;-1.65336e-05
176;-1.65906e-05
177;-1.66302e-05
178;-1.66524e-05
179;-1.66574e-05
180;-1.66454e-05
181;-1.66167e-05
182;-1.65716e-05
183;-1.65107e-05
184;-1.64343e-05
185;-1.6343e-05
186;-1.62374e-05
187;-1.6119e-05
188;-1.5987e-05
189;-1.58428e-05
190;-1.56872e-05
191;-1.55211e-05
192;-1.53454e-05
193;-1.5161e-05
194;-1.49688e-05
195;-1.477e-05
196;-1.45655e-05
197;-1.43563e-05
198;-1.41435e-05
